status;category;severity_priority;severity_name;severity_effect;begin_date;end_date;duration;cause;line;station
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220711T040000;20220712T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220812T040000;20220813T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220812T040000;20220813T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220814T040000;20220815T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220814T040000;20220815T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220722T040000;20220723T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220722T040000;20220723T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220727T040000;20220728T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220727T040000;20220728T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220723T040000;20220724T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220723T040000;20220724T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220801T040000;20220802T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220801T040000;20220802T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220827T040000;20220828T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220827T040000;20220828T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220703T040000;20220705T202504;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220703T040000;20220705T202504;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220829T040000;20220830T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220829T040000;20220830T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220815T040000;20220816T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220815T040000;20220816T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220716T040000;20220717T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220716T040000;20220717T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220717T040000;20220718T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220717T040000;20220718T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220729T040000;20220730T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220729T040000;20220730T034500;0;travaux;11;Mairie des Lilas
